127.0.0.1 - - [05/May/2021:23:31:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/css/custom.css HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/images/door.jpg HTTP/1.1" 200 128235
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/images/campus.jpg HTTP/1.1" 200 118410
0:0:0:0:0:0:0:1 - - [05/May/2021:23:31:51 +0900] "GET /text/images/info.jpg HTTP/1.1" 200 152341
0:0:0:0:0:0:0:1 - - [05/May/2021:23:32:42 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:32:52 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:32:54 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:32:57 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:27 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:27 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:27 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:28 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:28 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:28 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:28 +0900] "GET /text/main.jsp HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:29 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:29 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:29 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:29 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:29 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:33:30 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/main.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/images/book.jpg HTTP/1.1" 200 772904
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/images/coffee.jpg HTTP/1.1" 200 219191
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/images/letters.jpg HTTP/1.1" 200 707352
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/main.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:23:39:37 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
